ID,8,11,12,13,14,15,19,20,21,22,23,24,25,27,28,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,98,99,102,103,126,127,128,129,130,132,133,480,481,482,483,511,512,513,514,515,516,517,518,519,521,522,523,524,525,526,527,528,529,592,593,594,595,832,856,857,859,860,862,863,877,878,879,880,881,882,883,884,885,886,887,888,889,890,892,893,894,895,896,897,898,900,901,902,903,906,907,908,909,910,911,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,946
22,2,6,13,12,7,0,17,119,4,2787,21308,1244,48033,6160,16624,0,0,31,172,321,940,1068,2019,5769,569,0,1335,0,3307,3758,0,1295,0,406,374,1090,0,1,192,74556,493,1,0,4017,5409,2780,4328,2483,57,0,0,0,2,0,1,0,0,0,0,0,3,5,1,0,0,0,0,1,0,10,0,0,0,0,0,23207,110727,7004,4988,1101,3050,16202,45,0,1,0,0,3,0,0,0,0,3,1,1,8,26872,0,7528,7488,21843,0,0,1,0,0,3,529,307,101,65,191,230,2,0,0,1,0,1,0,0,1,0,3,11,0,0,0,4,14,12,11,3,0,0,0,0,0,6,0,86,302,9192,0,1
23,40243,28882,91188,48449,30262,18,115487,58422,16169,22949,1570,1356,40333,15352,35354,0,0,62,268,450,2921,2683,4065,16907,1692,0,4111,0,5505,7774,0,2869,0,772,2565,2566,357,152,164160,81660,1070,46,0,9239,11507,7507,11344,5712,122,2261,1318,0,4476,56,89,0,310,0,1206,0,3155,2201,1582,5,0,292,567,1893,2068,95189,0,0,0,0,0,36156,263092,27992,5524,737,3591,36899,39722,0,2688,0,0,4947,1249,1493,132,372,3007,184,813,1221,46409,0,4120,7078,57410,0,0,641,887,71,3316,1076,1156,223,118,517,645,1095,29,1,13,2242,1990,680,1587,4766,2246,3416,856,0,232,74,126,1198,753,1851,3614,82,411,0,219,298,4539,19,254,676,29094,0,150
24,367,647,2188,2422,1649,1,2845,4301,571,5612,6375,766,3500,2433,4781,0,0,12,28,57,190,225,299,2239,125,0,276,0,468,592,0,571,0,90,88,296,18,7,17507,7459,149,4,0,760,752,606,783,372,6,53,39,0,172,1,9,0,18,0,34,0,127,64,63,0,0,13,17,34,26,643,0,0,0,0,0,1982,178160,7947,9885,1059,1159,16326,2334,0,203,0,0,267,51,98,2,18,262,11,81,48,10840,0,385,491,3522,0,0,9,13,9,25,98,156,23,12,22,49,54,2,0,1,251,57,21,82,254,120,152,63,0,15,5,8,25,22,67,130,4,9,0,4,32,484,1,5,70,4755,0,2
25,1288,1408,6086,3766,5922,1,13764,8795,1263,34732,24389,142,380,9331,19967,0,0,19,85,121,884,1681,1625,5977,655,0,1032,0,2118,5681,0,1491,0,428,428,1045,8,13,31908,57986,292,0,0,4000,5831,3549,5361,2351,38,70,67,0,194,2,13,0,18,0,56,0,191,130,76,1,0,23,16,149,145,3067,0,0,0,0,0,19586,3642,1957,8393,273,987,17595,1064,0,585,4,0,1164,211,153,8,36,190,5,64,51,30144,0,16395,11653,27680,0,0,20,70,58,250,523,528,100,52,81,198,40,0,0,0,223,223,70,95,476,149,312,72,0,43,3,18,75,48,206,215,2,26,0,14,30,360,0,40,329,12482,0,11
27,599,867,4249,3124,2810,1,4513,2317,604,6948,14504,53,9440,250,14991,0,0,113,425,546,3196,3728,6265,13211,21758,0,10071,0,10106,17951,0,3370,0,1718,1002,2113,8,5,19752,55773,7698,2,0,25015,36362,9851,12835,8939,247,48,31,0,104,3,7,0,13,0,25,0,92,65,81,0,0,6,24,40,102,2548,0,0,0,0,0,6150,1149,1641,2824,69,235,30712,762,0,161,0,0,564,130,130,1,13,127,8,32,55,7305,0,3415,1519,10284,0,0,47,80,4,231,1740,1987,390,395,749,784,16,0,0,1,165,130,24,103,409,221,314,93,0,53,2,162,334,160,458,262,13,30,0,26,15,644,0,227,632,23600,0,13
28,956,1491,8536,9601,5435,1,10529,4734,976,20042,38911,100,22258,14978,58,0,0,278,877,848,6859,10339,17457,44462,49355,0,28907,0,10703,37765,0,25119,0,3993,8053,6100,6,12,33652,178681,17621,7,0,36340,119404,38439,64815,21231,503,65,56,0,124,5,4,0,16,0,39,0,119,59,108,0,0,26,22,75,223,5426,0,0,0,0,0,43470,969,3477,4312,224,819,37941,1941,0,361,0,0,1100,324,257,11,61,391,28,97,138,8198,0,8892,3638,19146,0,0,110,165,18,425,6211,5683,984,680,1177,1865,20,2,1,2,273,195,78,184,861,901,739,227,0,134,7,246,1018,433,1562,685,11,61,0,61,36,1051,0,585,1913,98130,0,39
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,14,7,19,13,10,2,12,7,9,13,54,0,21,76,203,0,0,29634,37120,53139,321993,193913,23825,84499,13,0,19,0,36,43,0,23,0,4,10,31,0,0,44,306,23,0,0,51,282,722,154,860,334314,3,3,0,2,1,0,0,0,0,2,0,5,2,6,0,0,2,2,1,1,68,0,0,0,0,0,110,8,6,9,0,1,130,2,0,2,0,0,1,0,0,0,0,0,0,1,0,20,0,16,1,104,0,0,5,5,0,11,89,64,18,6,35,32,0,0,0,0,1,3,0,0,5,2,5,4,0,0,0,7,24,11,15,9,0,0,0,0,0,3,0,9,11,460,0,0
49,19,9,18,10,5,0,17,9,32,34,56,0,27,138,229,0,0,51,10659,24641,45329,24370,13021,37190,9,0,20,0,57,54,0,65,0,44,22,41,0,0,49,431,14,1,0,129,160,377,262,543,2093602,7,3,0,10,0,1,0,3,0,0,0,3,4,4,0,0,1,2,6,7,110,0,0,0,0,0,106,12,16,11,0,2,167,4,0,0,0,0,1,0,1,0,0,1,0,0,0,23,0,37,19,229,0,0,2,3,5,9,98,41,12,8,47,68,0,0,0,1,4,1,1,2,7,7,5,0,0,0,0,12,45,9,37,9,0,0,0,0,0,2,0,11,18,786,0,2
50,113,32,109,116,64,2,51,27,78,189,209,0,97,428,939,0,0,16336,1201,29069,188256,63598,73798,91014,67,0,99,0,335,322,0,431,0,72,133,311,3,2,263,2004,94,3,0,643,891,1132,626,1767,1572392,15,19,0,45,0,2,0,4,0,9,0,94,28,17,0,0,13,15,39,29,950,0,0,0,0,0,384,18,33,82,4,14,785,31,0,4,0,0,5,4,5,0,0,11,0,2,2,62,0,76,36,1330,0,0,24,40,3,125,383,320,102,55,505,605,5,1,1,12,15,5,8,14,37,11,30,7,0,1,0,95,308,89,274,115,0,7,0,1,0,49,0,94,52,2808,0,0
