o,d,flow_in,flow_out
12,942,18659,19033
12,946,22,23
13,8,44396,52003
13,11,19699,20313
13,12,14211,14670
13,13,914,932
13,14,6586,6751
13,15,18117,18606
13,19,9,9
13,20,6228,6350
13,21,14781,15311
13,22,15,17
13,23,45135,47293
13,24,115,539
13,25,6409,6609
13,27,3450,3555
13,28,8730,9107
13,49,12,12
13,50,50,50
13,51,59,60
13,52,328,346
13,53,937,960
13,54,1022,1046
13,55,5551,5710
13,56,1004,1070
13,58,925,967
13,60,2048,2083
13,61,1731,1771
13,63,804,837
13,65,255,263
13,66,215,225
13,67,878,901
13,68,5714,9507
13,70,269,1008
13,98,23250,23698
13,99,30342,31382
13,102,237,250
13,103,162,718
13,127,2099,2177
13,128,1911,1962
13,129,1559,1599
13,130,2399,2456
13,132,2155,2203
13,133,27,27
13,480,4603,4735
13,481,2040,2190
13,483,7042,7792
13,511,292,333
13,512,409,445
13,514,907,1169
13,516,3323,3601
13,518,6858,7429
13,519,4368,4729
13,521,3158,3322
13,522,21,21
13,524,528,572
13,525,1632,1680
13,526,3737,3910
13,527,2337,2461
13,528,21703,22762
13,832,6609,6839
13,856,6110,6870
13,857,4613,7634
13,859,1911,4524
13,860,93,337
13,862,579,3898
13,863,25959,27305
13,877,60906,107434
13,879,1048,3239
13,882,5282,10103
13,883,1213,2616
13,884,768,3962
13,885,55,329
13,886,89,421
13,887,1734,4821
13,888,122,360
13,889,387,1231
13,890,1494,10828
13,892,4201,4379
13,894,2961,3074
13,895,3637,3853
13,896,42737,44298
13,900,757,1964
13,901,560,846
13,902,371,649
13,903,1269,1593
13,906,1039,1142
13,907,491,515
13,908,347,472
13,909,199,262
13,910,926,1154
13,911,3072,3171
13,913,505,2126
13,914,17,42
13,915,2,15
13,916,34,85
13,917,1784,2519
13,918,1564,1779
13,919,654,737
13,920,766,877
13,921,1395,1848
13,922,490,568
13,923,1164,1557
13,924,213,230
13,926,97,108
13,927,16,17
13,928,447,549
13,929,4188,4562
13,930,3134,3353
13,931,2942,3589
13,932,6591,8389
13,933,25,28
13,934,158,184
13,936,51,97
13,937,108,118
13,938,1591,1885
13,939,13,36
13,940,1395,2226
13,941,243,253
13,942,19364,19999
13,946,15,16
14,8,9410,10877
14,11,10811,11002
14,12,11424,11598
14,13,6689,6749
14,14,630,637
14,15,7455,7545
14,19,8,9
14,20,3042,3066
14,21,6615,6758
14,22,12,12
14,23,21736,22386
14,24,82,316
14,25,8501,8638
14,27,2930,2962
14,28,4099,4142
14,49,9,9
14,50,25,25
14,51,37,39
14,52,272,273
14,53,846,867
14,54,763,767
14,55,3210,3234
14,56,352,358
14,58,604,609
14,60,1354,1359
14,61,962,966
14,63,508,511
14,65,191,194
14,66,343,348
14,67,413,422
14,68,1028,1942
14,70,126,416
14,98,10579,10636
14,99,22917,23194
14,102,175,177
14,103,35,269
14,127,1573,1589
14,128,1519,1527
14,129,1254,1261
14,130,2569,2589
14,132,801,807
14,133,19,19
14,480,1260,1271
14,481,489,511
14,483,2408,2571
14,511,67,77
14,512,134,147
14,514,281,334
14,516,900,964
14,518,1892,1995
14,519,739,790
14,521,1019,1060
14,522,2,2
14,524,147,150
14,525,268,275
14,526,628,643
14,527,677,696
14,528,6953,7127
14,832,6059,6089
14,856,4215,4721
14,857,2954,4708
14,859,1378,2664
14,860,360,607
14,862,583,2399
14,863,12347,12833
14,877,55754,89236
14,879,385,1577
14,880,3,4
14,882,1567,2907
14,883,367,778
14,884,435,1221
14,885,29,71
14,886,117,253
14,887,1454,2574
14,888,45,96
14,889,182,442
14,890,513,2847
14,892,3624,3653
14,894,3092,3134
14,895,1977,2017
14,896,27978,28223
14,900,189,492
14,901,109,184
14,902,20,55
14,903,470,582
14,906,216,259
14,907,113,117
14,908,92,100
14,909,71,89
14,910,196,259
14,911,681,695
14,913,313,1357
14,914,7,23
14,915,1,3
14,916,13,38
14,917,1075,1523
14,918,937,1059
14,919,297,324
14,920,397,450
14,921,800,1076
14,922,357,405
14,923,540,711
14,924,104,108
14,926,48,54
14,927,8,10
14,928,88,111
14,929,899,981
14,930,563,594
14,931,834,995
14,932,1887,2449
14,933,19,19
14,934,44,53
14,936,40,41
14,937,40,46
14,938,882,1122
14,939,2,15
14,940,249,398
14,941,230,239
14,942,16942,17147
14,946,22,22
15,8,10542,11827
15,11,18919,19271
15,12,30651,31194
15,13,16168,16317
15,14,8180,8253
15,15,54,55
15,19,2,2
15,20,15,15
15,21,14926,15242
15,22,1,1
15,23,2,2
15,24,0,2
15,27,1,1
15,28,3,3
15,49,1,1
15,52,2,2
15,53,15,15
15,54,12,12
15,55,58,58
15,56,1,1
15,60,2,3
15,61,3,3
15,66,2,2
15,67,1,3
15,68,486,844
15,70,185,878
15,98,16,17
15,99,8,8
15,103,39,275
15,127,4,4
15,128,6,6
15,129,9,9
15,130,6,6
15,132,60,60
15,480,1607,1626
15,481,1174,1211
15,483,3647,3942
15,511,48,57
15,512,91,106
15,514,169,220
15,516,829,914
15,518,3040,3218
15,519,1317,1433
15,521,1400,1454
15,522,7,7
15,524,297,307
15,525,532,537
15,526,1358,1383
15,527,1209,1246
15,528,8752,8954
15,832,2,2
15,856,1,1
15,857,0,1
15,860,0,1
15,862,0,1
15,863,2,5
15,877,42307,67287
15,879,440,2347
15,880,2,2
15,882,5701,13839
15,883,1085,2965
15,884,1265,7451
15,885,197,1038
15,886,290,1166
15,887,1989,6571
15,888,96,522
15,889,559,2229
15,890,985,11520
15,894,0,1
15,896,4,4
15,900,401,1031
15,901,160,262
15,902,117,224
15,903,433,509
15,906,52,55
15,907,37,40
15,908,36,41
15,909,40,52
15,910,125,149
15,911,403,408
15,913,789,3586
15,914,11,31
15,915,3,6
15,916,6,21
15,917,1771,2433
15,918,1774,1972
15,919,542,603
15,920,1851,2061
15,921,3502,4299
15,922,1416,1578
15,923,1859,2478
15,924,427,454
15,926,192,200
15,927,63,65
15,928,105,142
15,929,1015,1080
15,930,634,685
15,931,1314,1520
15,932,2770,3507
15,933,55,63
15,934,260,321
15,936,168,207
15,937,242,266
15,938,3283,3792
15,939,23,70
15,940,267,431
15,942,10,10
15,946,101,103
19,8,9,9
19,11,5,5
19,12,11,11
19,13,17,18
19,14,31,32
19,15,1,1
19,19,66,66
19,20,7255,7394
19,21,11,12
19,22,11,11
19,23,109557,113931
19,24,170,907
19,25,18414,18790
19,27,4625,4726
19,28,9375,9544
