,906,20,21,22,24,25,129,27,28,128,127,99,907,98,931,932,19,130,23,930,928,132,911,910,909,8,929,940,11,12,908,13,14,15,832,133,51,54,53,52,50,49,48,55,102,67,66,60,64,941,65,56,942,58,59,57,62,63,61,919,918,920,921,922,923,924,917,946,926,939,938,937,936,935,934,103,933,70,68,927,480,481,482,512,511,523,527,525,529,526,524,522,528,521,518,517,516,515,514,513,519,483,859,863,860,857,862,856,886,879,880,882,883,884,885,890,889,877,887,888,896,892,894,895,903,902,901,900,914,915,916,913
906,0.0,24.0,721.0,178.0,0.0,84.0,1826.0,249.0,915.0,1278.0,1239.0,555.0,4876.0,293.0,1404.0,481.0,30.0,1110.0,161.0,399.0,635.0,4389.0,13959.0,64854.0,2963.0,403.0,2211.0,1366.0,122.0,209.0,1705.0,529.0,54.0,4.0,340.0,894.0,47.0,2462.0,2362.0,320.0,98.0,25.0,0.0,1914.0,469.0,96.0,42.0,532.0,0.0,16.0,44.0,372.0,294.0,404.0,0.0,0.0,0.0,156.0,149.0,17.0,54.0,176.0,397.0,91.0,318.0,53.0,186.0,11.0,13.0,0.0,291.0,17.0,17.0,0.0,23.0,35.0,3.0,42.0,31.0,0.0,87.0,149.0,0,23.0,13.0,0,0,107.0,0,330.0,74.0,2.0,3.0,212.0,705.0,0.0,133.0,0.0,26.0,0.0,415.0,542.0,48.0,223.0,5.0,36.0,27.0,6.0,4.0,35.0,0.0,17.0,12.0,35.0,0.0,57.0,9.0,74.0,58.0,3.0,197.0,54.0,216.0,45.0,109.0,230.0,267.0,402.0,7.0,4.0,70.0,86.0
20,7.0,0.0,893.0,54.0,300.0,2394.0,189.0,217.0,459.0,189.0,149.0,2990.0,27.0,6083.0,149.0,175.0,1656.0,108.0,10139.0,34.0,4.0,88.0,25.0,10.0,5.0,458.0,57.0,19.0,452.0,1947.0,7.0,1264.0,493.0,4.0,492.0,5.0,15.0,63.0,28.0,42.0,7.0,4.0,0.0,258.0,45.0,33.0,19.0,151.0,0.0,7.0,11.0,46.0,458.0,96.0,0.0,0.0,0.0,49.0,153.0,25.0,76.0,134.0,288.0,144.0,156.0,42.0,145.0,8.0,16.0,11.0,130.0,13.0,9.0,0.0,5.0,6.0,6.0,59.0,118.0,3.0,164.0,42.0,0,12.0,6.0,0,0,25.0,0,38.0,14.0,0.0,1.0,77.0,170.0,0.0,170.0,0.0,26.0,0.0,129.0,253.0,688.0,927.0,80.0,823.0,327.0,2520.0,165.0,296.0,0.0,335.0,117.0,199.0,25.0,275.0,210.0,11369.0,643.0,22.0,1247.0,881.0,377.0,453.0,3.0,5.0,5.0,59.0,2.0,0.0,3.0,269.0
21,950.0,1145.0,0.0,0.0,29.0,210.0,218.0,82.0,103.0,136.0,144.0,1107.0,690.0,4166.0,5079.0,7037.0,2.0,70.0,2775.0,1651.0,323.0,1235.0,5501.0,3546.0,479.0,13510.0,2340.0,1323.0,3696.0,2878.0,401.0,4334.0,1222.0,3917.0,104.0,46.0,12.0,333.0,316.0,128.0,17.0,3.0,0.0,1252.0,7.0,19.0,9.0,65.0,0.0,11.0,12.0,14.0,228.0,23.0,0.0,0.0,0.0,17.0,20.0,255.0,574.0,2308.0,6059.0,1470.0,2454.0,259.0,1518.0,247.0,67.0,151.0,645.0,73.0,57.0,0.0,76.0,4462.0,20.0,11777.0,121117.0,18.0,3741.0,1187.0,0,12572.0,20349.0,0,0,1696.0,0,1444.0,749.0,3.0,12.0,4363.0,17214.0,0.0,10258.0,0.0,6068.0,0.0,12959.0,13304.0,263.0,1031.0,61.0,223.0,181.0,199.0,60.0,584.0,0.0,2337.0,61.0,453.0,28.0,491.0,175.0,1396.0,770.0,41.0,1300.0,133.0,142.0,132.0,223.0,221.0,319.0,2772.0,3823.0,266.0,9978.0,1542.0
22,150.0,58.0,2.0,0.0,1155.0,20178.0,795.0,834.0,2971.0,980.0,829.0,28828.0,65.0,63.0,5.0,1.0,2.0,686.0,7246.0,3.0,1.0,721.0,82.0,65.0,17.0,0.0,4.0,50.0,0.0,3.0,28.0,3.0,3.0,0.0,5843.0,29.0,213.0,453.0,221.0,303.0,111.0,9.0,0.0,1085.0,178.0,298.0,82.0,923.0,0.0,101.0,97.0,128.0,1930.0,441.0,0.0,0.0,0.0,459.0,802.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3620.0,2864.0,1023.0,2439.0,2825.0,44522.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,24.0,3.0,1.0,5664.0,8730.0,4210.0,3643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,15.0,810.0,151.0,2288.0,0.0,1243.0,219.0,267.0,670.0,112.0,158.0,2311.0,21.0,4566.0,28.0,35.0,432.0,89.0,2878.0,8.0,2.0,77.0,12.0,7.0,3.0,69.0,5.0,3.0,129.0,393.0,3.0,526.0,256.0,0.0,388.0,2.0,29.0,67.0,42.0,66.0,5.0,1.0,0.0,209.0,55.0,60.0,22.0,134.0,0.0,13.0,9.0,21.0,381.0,70.0,0.0,0.0,0.0,139.0,112.0,6.0,11.0,39.0,105.0,24.0,60.0,15.0,30.0,1.0,5.0,1.0,59.0,17.0,1.0,0.0,3.0,2.0,1.0,5.0,17.0,2.0,12.0,8.0,0,6.0,1.0,0,0,4.0,0,5.0,4.0,0.0,0.0,23.0,33.0,0.0,13.0,0.0,7.0,0.0,35.0,30.0,5511.0,1515.0,909.0,3415.0,1079.0,61738.0,17.0,153.0,0.0,140.0,28.0,93.0,2.0,47.0,79.0,1587.0,248.0,10.0,1039.0,2195.0,126.0,185.0,2.0,2.0,1.0,5.0,2.0,0.0,1.0,48.0
25,69.0,2162.0,139.0,13082.0,127.0,0.0,668.0,937.0,2896.0,725.0,785.0,15435.0,72.0,6668.0,30.0,8.0,1546.0,574.0,4482.0,8.0,7.0,266.0,18.0,15.0,13.0,131.0,14.0,6.0,155.0,614.0,18.0,449.0,872.0,0.0,2980.0,8.0,26.0,169.0,200.0,158.0,12.0,5.0,0.0,612.0,88.0,97.0,39.0,543.0,0.0,22.0,45.0,86.0,1137.0,179.0,0.0,0.0,0.0,295.0,930.0,11.0,22.0,25.0,70.0,35.0,86.0,10.0,34.0,7.0,3.0,0.0,41.0,5.0,1.0,0.0,2.0,0.0,0.0,12.0,8.0,0.0,13.0,6.0,0,10.0,0.0,0,0,4.0,0,11.0,7.0,0.0,0.0,14.0,31.0,0.0,13.0,0.0,4.0,0.0,38.0,47.0,3410.0,1048.0,256.0,456.0,932.0,1002.0,31.0,373.0,4.0,365.0,27.0,144.0,8.0,44.0,61.0,557.0,169.0,4.0,2986.0,8203.0,4116.0,1971.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0
129,1713.0,248.0,230.0,860.0,23.0,655.0,0.0,1790.0,6056.0,2392.0,11433.0,4792.0,753.0,1595.0,327.0,312.0,159.0,4428.0,1681.0,162.0,56.0,1599.0,2106.0,2188.0,352.0,99.0,556.0,180.0,62.0,152.0,165.0,584.0,426.0,0.0,4692.0,6779.0,1480.0,4119.0,1471.0,605.0,423.0,162.0,0.0,2509.0,9136.0,615.0,273.0,3579.0,0.0,120.0,160.0,7749.0,3633.0,4898.0,0.0,0.0,0.0,1523.0,1213.0,7.0,18.0,40.0,94.0,16.0,63.0,8.0,37.0,2.0,1.0,1.0,45.0,0.0,0.0,0.0,2.0,13.0,0.0,6.0,11.0,0.0,74.0,20.0,0,2.0,2.0,0,0,50.0,0,66.0,17.0,0.0,0.0,54.0,228.0,0.0,136.0,0.0,12.0,0.0,72.0,111.0,337.0,2790.0,44.0,450.0,132.0,57.0,68.0,84.0,0.0,86.0,23.0,75.0,5.0,83.0,78.0,376.0,224.0,8.0,1349.0,375.0,346.0,183.0,22.0,25.0,33.0,79.0,0.0,2.0,5.0,12.0
27,263.0,265.0,80.0,994.0,53.0,1061.0,1858.0,0.0,3707.0,4824.0,5669.0,11212.0,194.0,3039.0,69.0,80.0,343.0,1649.0,1770.0,14.0,20.0,1329.0,107.0,111.0,51.0,44.0,66.0,23.0,114.0,377.0,56.0,404.0,372.0,0.0,2126.0,73.0,150.0,627.0,641.0,549.0,116.0,20.0,0.0,1034.0,3015.0,361.0,181.0,4671.0,0.0,150.0,288.0,7374.0,2336.0,3524.0,0.0,0.0,0.0,815.0,3649.0,3.0,11.0,23.0,94.0,26.0,98.0,5.0,36.0,5.0,1.0,0.0,39.0,2.0,1.0,0.0,5.0,1.0,1.0,5.0,8.0,0.0,10.0,6.0,0,0.0,0.0,0,0,13.0,0,2.0,4.0,0.0,0.0,16.0,36.0,0.0,4.0,0.0,2.0,0.0,27.0,22.0,917.0,1057.0,63.0,471.0,219.0,577.0,12.0,131.0,0.0,204.0,25.0,121.0,1.0,50.0,31.0,414.0,121.0,8.0,999.0,2030.0,490.0,242.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,13.0
28,896.0,622.0,135.0,3611.0,97.0,3140.0,6067.0,4321.0,0.0,6885.0,8177.0,37472.0,508.0,6067.0,173.0,72.0,948.0,8059.0,5459.0,61.0,35.0,2371.0,282.0,202.0,102.0,62.0,229.0,52.0,197.0,731.0,158.0,1181.0,876.0,0.0,13181.0,115.0,220.0,1524.0,1362.0,1286.0,255.0,50.0,0.0,2531.0,6739.0,1207.0,744.0,3995.0,0.0,362.0,648.0,17629.0,6933.0,11297.0,0.0,0.0,0.0,5191.0,7318.0,11.0,25.0,45.0,179.0,111.0,148.0,11.0,57.0,8.0,9.0,0.0,85.0,3.0,3.0,0.0,5.0,2.0,0.0,11.0,6.0,3.0,21.0,5.0,0,0.0,2.0,0,0,5.0,0,11.0,7.0,0.0,0.0,20.0,56.0,0.0,10.0,0.0,4.0,0.0,24.0,38.0,1359.0,2440.0,216.0,1103.0,776.0,339.0,59.0,293.0,0.0,409.0,88.0,231.0,9.0,127.0,88.0,1248.0,367.0,28.0,3104.0,1864.0,1541.0,677.0,6.0,2.0,3.0,27.0,2.0,1.0,2.0,18.0
