,ROUTE_NAME,STATION_NAME,LONGITUDE,LATITUDE,ID
659,6号线,常营,116.59406570000002,39.92547814,659
661,6号线,草房,116.61076580000001,39.92414844,661
663,6号线,物资学院路,116.6326436,39.92567883,663
665,6号线,通州北关,116.6515929,39.9235578,665
669,6号线,北运河西,116.6675495,39.91117595,669
673,6号线,郝家府,116.68044920000001,39.90366492,673
675,6号线,东夏园,116.71643059999998,39.90393861,675
677,6号线,潞城,116.74723490000001,39.90333437,677
721,7号线,北京西站,116.31528829999999,39.89250114,721
723,7号线,湾子,116.3225227,39.8880495,723
725,7号线,达官营,116.3314098,39.88787592,725
727,7号线,广安门内,116.35338279999999,39.88731604,727
729,7号线,菜市口,116.36935249999999,39.88735894,457
731,7号线,虎坊桥,116.37943899999999,39.88768354,731
733,7号线,珠市口,116.3932314,39.88937765,733
735,7号线,桥湾,116.4011918,39.89088705,735
737,7号线,磁器口,116.41379779999998,39.89199618,557
739,7号线,广渠门内,116.42311090000001,39.8926373,739
741,7号线,广渠门外,116.4336337,39.89263513,741
743,7号线,双井,116.4555871,39.88388176,743
745,7号线,九龙山,116.473437,39.892322,745
747,7号线,大郊亭,116.4832578,39.89223641,747
749,7号线,百子湾,116.4895243,39.89229118,749
751,7号线,化工,116.49815670000001,39.88697911,751
753,7号线,南楼梓庄,116.4966624,39.87389546,753
755,7号线,欢乐谷景区,116.494956,39.868588,755
759,7号线,双合,116.52395940000001,39.85816853,759
761,7号线,焦化厂,116.53519009999998,39.85293634,761
805,8号线,朱辛庄,116.30622209999999,40.10242417,805
807,8号线,育知路,116.32141370000001,40.08892556,807
809,8号线,平西府,116.34410120000001,40.08796517,809
811,8号线,回龙观东大街,116.3566314,40.07969592,811
813,8号线,霍营,116.35152360000001,40.06940062,813
815,8号线,育新,116.340011,40.05861847,815
817,8号线,西小口,116.3445135,40.04496389,817
819,8号线,永泰庄,116.3477381,40.03489533,819
821,8号线,林萃桥,116.3674432,40.01986539,821
823,8号线,森林公园南门,116.38595420000001,40.00772568,823
825,8号线,奥林匹克公园,116.3864409,40.00046034,825
827,8号线,奥体中心,116.3875355,39.9854169,827
829,8号线,北土城,116.38703629999999,39.97576869,829
831,8号线,安华桥,116.388225,39.9671831,831
835,8号线,鼓楼大街,116.3879627,39.94671968,217
837,8号线,什刹海,116.3877045,39.94135205,837
839,8号线,南锣鼓巷,116.3978122,39.93237034,639
921,9号线,国家图书馆,116.3195867,39.94139416,439
923,9号线,白石桥南,116.3196727,39.93152389,627
925,9号线,白堆子,116.31956070000001,39.92157138,925
927,9号线,军事博物馆,116.3156133,39.90567018,111
929,9号线,北京西站,116.31588909999998,39.89322519,721
931,9号线,六里桥东,116.3096594,39.88484848,931
933,9号线,六里桥,116.2990179,39.87940791,933
935,9号线,七里庄,116.28759869999999,39.86455003,935
937,9号线,丰台东大街,116.2893263,39.85342885,937
939,9号线,丰台南路,116.2914334,39.83942791,939
941,9号线,科怡路,116.2935195,39.83080357,941
943,9号线,丰台科技园,116.29285459999998,39.82273884,943
945,9号线,郭公庄,116.296722,39.811903,945
1001,10号线,巴沟,116.2802882,39.97014763,1001
1003,10号线,苏州街,116.28898659999999,39.97243525,1003
1005,10号线,海淀黄庄,116.3112686,39.97397432,433
1007,10号线,知春里,116.32247029999999,39.97404935,1007
1009,10号线,知春路,116.334341,39.97395601,1009
1011,10号线,西土城,116.34734479999999,39.97533585,1011
1013,10号线,牡丹园,116.363274,39.97564059,1013
1015,10号线,健德门,116.37483870000001,39.97574857,1015
1017,10号线,北土城,116.38813619999999,39.97451364,829
1019,10号线,安贞门,116.40053400000001,39.9757222,1019
1021,10号线,惠新西街南口,116.4107413,39.97578354,537
1023,10号线,芍药居,116.4302287,39.97619619,1023
1025,10号线,太阳宫,116.44068490000002,39.97158192,1025
1027,10号线,三元桥,116.45326770000001,39.96284292,1027
1029,10号线,亮马桥,116.4559453,39.94692355,1029
1031,10号线,农业展览馆,116.45589550000001,39.93991648,1031
1033,10号线,团结湖,116.4555278,39.93316909,1033
1035,10号线,呼家楼,116.4548422,39.92225932,647
1037,10号线,金台夕照,116.4558908,39.91538346,1037
1039,10号线,国贸,116.4558764,39.90686347,122
1041,10号线,双井,116.45676259999999,39.89238552,743
1043,10号线,劲松,116.4555121,39.87457419,1043
