,ROUTE,NAME,LON,LAT,ID,ROUTE_NAME,STATION_NAME,STATION
627,6,白石桥南,116.32046,39.93116826,627,6号线,白石桥南,27
631,6,车公庄西,116.3387203,39.93129185,631,6号线,车公庄西,31
633,6,车公庄,116.3515418,39.93131023,202,6号线,车公庄,33
635,6,平安里,116.3682615,39.9310513,447,6号线,平安里,35
637,6,北海北,116.38012109999998,39.93134947,637,6号线,北海北,37
639,6,南锣鼓巷,116.3982297,39.93145388,639,6号线,南锣鼓巷,39
641,6,东四,116.4112817,39.92368546,549,6号线,东四,41
643,6,朝阳门,116.4278818,39.92349837,212,6号线,朝阳门,43
645,6,东大桥,116.4439875,39.92223479,645,6号线,东大桥,45
647,6,呼家楼,116.4555435,39.92232565,647,6号线,呼家楼,47
649,6,金台路,116.4715607,39.92182336,649,6号线,金台路,49
651,6,十里堡,116.4959865,39.92149079,651,6号线,十里堡,51
653,6,青年路,116.5118813,39.92168488,653,6号线,青年路,53
655,6,褡裢坡,116.5579905,39.92359001,655,6号线,褡裢坡,55
657,6,黄渠,116.5729598,39.92412344,657,6号线,黄渠,57
659,6,常营,116.59406570000002,39.92547814,659,6号线,常营,59
661,6,草房,116.6107658,39.92414844,661,6号线,草房,61
663,6,物资学院路,116.6326436,39.92567883,663,6号线,物资学院路,63
665,6,通州北关,116.6515929,39.9235578,665,6号线,通州北关,65
669,6,北运河西,116.6675495,39.91117595,669,6号线,北运河西,69
673,6,郝家府,116.6804492,39.90366492,673,6号线,郝家府,73
675,6,东夏园,116.71643059999998,39.90393861,675,6号线,东夏园,75
677,6,潞城,116.7472349,39.90333437,677,6号线,潞城,77
721,7,北京西站,116.3152883,39.89250114,721,7号线,北京西站,21
723,7,湾子,116.3225227,39.8880495,723,7号线,湾子,23
725,7,达官营,116.3314098,39.88787592,725,7号线,达官营,25
727,7,广安门内,116.3533828,39.88731604,727,7号线,广安门内,27
729,7,菜市口,116.3693525,39.88735894,457,7号线,菜市口,29
731,7,虎坊桥,116.379439,39.88768354,731,7号线,虎坊桥,31
733,7,珠市口,116.3932314,39.88937765,733,7号线,珠市口,33
735,7,桥湾,116.4011918,39.89088705,735,7号线,桥湾,35
737,7,磁器口,116.41379779999998,39.89199618,557,7号线,磁器口,37
739,7,广渠门内,116.4231109,39.8926373,739,7号线,广渠门内,39
741,7,广渠门外,116.4336337,39.89263513,741,7号线,广渠门外,41
743,7,双井,116.4555871,39.88388176,743,7号线,双井,43
745,7,九龙山,116.473437,39.892322,745,7号线,九龙山,45
747,7,大郊亭,116.4832578,39.89223641,747,7号线,大郊亭,47
749,7,百子湾,116.4895243,39.89229118,749,7号线,百子湾,49
751,7,化工,116.4981567,39.88697911,751,7号线,化工,51
753,7,南楼梓庄,116.4966624,39.87389546,753,7号线,南楼梓庄,53
755,7,欢乐谷景区,116.494956,39.868588,755,7号线,欢乐谷景区,55
759,7,双合,116.5239594,39.85816853,759,7号线,双合,59
761,7,焦化厂,116.53519009999998,39.85293634,761,7号线,焦化厂,61
805,8,朱辛庄,116.3062221,40.10242417,805,8号线,朱辛庄,5
807,8,育知路,116.3214137,40.08892556,807,8号线,育知路,7
809,8,平西府,116.3441012,40.08796517,809,8号线,平西府,9
811,8,回龙观东大街,116.3566314,40.07969592,811,8号线,回龙观东大街,11
813,8,霍营,116.3515236,40.06940062,813,8号线,霍营,13
815,8,育新,116.340011,40.05861847,815,8号线,育新,15
817,8,西小口,116.3445135,40.04496389,817,8号线,西小口,17
819,8,永泰庄,116.3477381,40.03489533,819,8号线,永泰庄,19
821,8,林萃桥,116.3674432,40.01986539,821,8号线,林萃桥,21
823,8,森林公园南门,116.3859542,40.00772568,823,8号线,森林公园南门,23
825,8,奥林匹克公园,116.3864409,40.00046034,825,8号线,奥林匹克公园,25
827,8,奥体中心,116.3875355,39.9854169,827,8号线,奥体中心,27
829,8,北土城,116.3870363,39.97576869,829,8号线,北土城,29
831,8,安华桥,116.388225,39.9671831,831,8号线,安华桥,31
835,8,鼓楼大街,116.3879627,39.94671968,217,8号线,鼓楼大街,35
837,8,什刹海,116.3877045,39.94135205,837,8号线,什刹海,37
839,8,南锣鼓巷,116.3978122,39.93237034,639,8号线,南锣鼓巷,39
921,9,国家图书馆,116.3195867,39.94139416,439,9号线,国家图书馆,21
923,9,白石桥南,116.3196727,39.93152389,627,9号线,白石桥南,23
925,9,白堆子,116.3195607,39.92157138,925,9号线,白堆子,25
927,9,军事博物馆,116.3156133,39.90567018,111,9号线,军事博物馆,27
929,9,北京西站,116.31588909999998,39.89322519,721,9号线,北京西站,29
931,9,六里桥东,116.3096594,39.88484848,931,9号线,六里桥东,31
933,9,六里桥,116.2990179,39.87940791,933,9号线,六里桥,33
935,9,七里庄,116.2875987,39.86455003,935,9号线,七里庄,35
937,9,丰台东大街,116.2893263,39.85342885,937,9号线,丰台东大街,37
939,9,丰台南路,116.2914334,39.83942791,939,9号线,丰台南路,39
941,9,科怡路,116.2935195,39.83080357,941,9号线,科怡路,41
943,9,丰台科技园,116.29285459999998,39.82273884,943,9号线,丰台科技园,43
945,9,郭公庄,116.296722,39.811903,945,9号线,郭公庄,45
1001,10,巴沟,116.2802882,39.97014763,1001,10号线,巴沟,1
1003,10,苏州街,116.2889866,39.97243525,1003,10号线,苏州街,3
1005,10,海淀黄庄,116.3112686,39.97397432,433,10号线,海淀黄庄,5
1007,10,知春里,116.3224703,39.97404935,1007,10号线,知春里,7
1009,10,知春路,116.334341,39.97395601,1009,10号线,知春路,9
1011,10,西土城,116.3473448,39.97533585,1011,10号线,西土城,11
1013,10,牡丹园,116.363274,39.97564059,1013,10号线,牡丹园,13
1015,10,健德门,116.3748387,39.97574857,1015,10号线,健德门,15
1017,10,北土城,116.3881362,39.97451364,829,10号线,北土城,17
1019,10,安贞门,116.400534,39.9757222,1019,10号线,安贞门,19
1021,10,惠新西街南口,116.4107413,39.97578354,537,10号线,惠新西街南口,21
1023,10,芍药居,116.4302287,39.97619619,1023,10号线,芍药居,23
1025,10,太阳宫,116.44068490000002,39.97158192,1025,10号线,太阳宫,25
1027,10,三元桥,116.4532677,39.96284292,1027,10号线,三元桥,27
1029,10,亮马桥,116.4559453,39.94692355,1029,10号线,亮马桥,29
1031,10,农业展览馆,116.4558955,39.93991648,1031,10号线,农业展览馆,31
1033,10,团结湖,116.4555278,39.93316909,1033,10号线,团结湖,33
1035,10,呼家楼,116.4548422,39.92225932,647,10号线,呼家楼,35
1037,10,金台夕照,116.4558908,39.91538346,1037,10号线,金台夕照,37
1039,10,国贸,116.4558764,39.90686347,122,10号线,国贸,39
1041,10,双井,116.4567626,39.89238552,743,10号线,双井,41
1043,10,劲松,116.4555121,39.87457419,1043,10号线,劲松,43
9021,90,劲松,116.4555121,39.87457419,1043,10号线,劲松,21
9023,90,潘家园,116.4524575,39.86476092,9023,10号线,潘家园,23
9025,90,十里河,116.44920249999998,39.85088475,9025,10号线,十里河,25
9027,90,分钟寺,116.4418925,39.84451834,9027,10号线,分钟寺,27
9029,90,成寿寺,116.4336033,39.84452226,9029,10号线,成寿寺,29
9031,90,宋家庄,116.4232683,39.84452631,565,10号线,宋家庄,31
9033,90,石榴庄,116.4079863,39.84446734,9033,10号线,石榴庄,33
