,name,route_name,station,route,latitude,longitude,id
631,车公庄西,6号线,31,6,39.93129185,116.33872029999999,631
633,车公庄,6号线,33,6,39.93131023,116.3515418,202
635,平安里,6号线,35,6,39.9310513,116.3682615,447
637,北海北,6号线,37,6,39.93134947,116.38012109999998,637
639,南锣鼓巷,6号线,39,6,39.93145388,116.3982297,639
641,东四,6号线,41,6,39.92368546,116.4112817,549
643,朝阳门,6号线,43,6,39.92349837,116.4278818,212
645,东大桥,6号线,45,6,39.92223479,116.4439875,645
647,呼家楼,6号线,47,6,39.92232565,116.4555435,647
649,金台路,6号线,49,6,39.92182336,116.47156070000001,649
651,十里堡,6号线,51,6,39.92149079,116.4959865,651
653,青年路,6号线,53,6,39.92168488,116.51188130000001,653
655,褡裢坡,6号线,55,6,39.92359001,116.5579905,655
657,黄渠,6号线,57,6,39.92412344,116.5729598,657
659,常营,6号线,59,6,39.92547814,116.59406570000002,659
661,草房,6号线,61,6,39.92414844,116.61076580000001,661
663,物资学院路,6号线,63,6,39.92567883,116.6326436,663
665,通州北关,6号线,65,6,39.9235578,116.6515929,665
669,北运河西,6号线,69,6,39.91117595,116.6675495,669
673,郝家府,6号线,73,6,39.90366492,116.68044920000001,673
675,东夏园,6号线,75,6,39.90393861,116.71643059999998,675
677,潞城,6号线,77,6,39.90333437,116.74723490000001,677
721,北京西站,7号线,21,7,39.89250114,116.31528829999999,721
723,湾子,7号线,23,7,39.8880495,116.3225227,723
725,达官营,7号线,25,7,39.88787592,116.3314098,725
727,广安门内,7号线,27,7,39.88731604,116.35338279999999,727
729,菜市口,7号线,29,7,39.88735894,116.36935249999999,457
731,虎坊桥,7号线,31,7,39.88768354,116.37943899999999,731
733,珠市口,7号线,33,7,39.88937765,116.3932314,733
735,桥湾,7号线,35,7,39.89088705,116.4011918,735
737,磁器口,7号线,37,7,39.89199618,116.41379779999998,557
739,广渠门内,7号线,39,7,39.8926373,116.42311090000001,739
741,广渠门外,7号线,41,7,39.89263513,116.4336337,741
743,双井,7号线,43,7,39.88388176,116.4555871,743
745,九龙山,7号线,45,7,39.892322,116.473437,745
747,大郊亭,7号线,47,7,39.89223641,116.4832578,747
749,百子湾,7号线,49,7,39.89229118,116.4895243,749
751,化工,7号线,51,7,39.88697911,116.49815670000001,751
753,南楼梓庄,7号线,53,7,39.87389546,116.4966624,753
755,欢乐谷景区,7号线,55,7,39.868588,116.494956,755
759,双合,7号线,59,7,39.85816853,116.52395940000001,759
761,焦化厂,7号线,61,7,39.85293634,116.53519009999998,761
805,朱辛庄,8号线,5,8,40.10242417,116.30622209999999,805
807,育知路,8号线,7,8,40.08892556,116.32141370000001,807
809,平西府,8号线,9,8,40.08796517,116.34410120000001,809
811,回龙观东大街,8号线,11,8,40.07969592,116.3566314,811
813,霍营,8号线,13,8,40.06940062,116.35152360000001,813
815,育新,8号线,15,8,40.05861847,116.340011,815
817,西小口,8号线,17,8,40.04496389,116.3445135,817
819,永泰庄,8号线,19,8,40.03489533,116.3477381,819
821,林萃桥,8号线,21,8,40.01986539,116.3674432,821
823,森林公园南门,8号线,23,8,40.00772568,116.38595420000001,823
825,奥林匹克公园,8号线,25,8,40.00046034,116.3864409,825
827,奥体中心,8号线,27,8,39.9854169,116.3875355,827
829,北土城,8号线,29,8,39.97576869,116.38703629999999,829
831,安华桥,8号线,31,8,39.9671831,116.388225,831
835,鼓楼大街,8号线,35,8,39.94671968,116.3879627,217
837,什刹海,8号线,37,8,39.94135205,116.3877045,837
839,南锣鼓巷,8号线,39,8,39.93237034,116.3978122,639
921,国家图书馆,9号线,21,9,39.94139416,116.3195867,439
923,白石桥南,9号线,23,9,39.93152389,116.3196727,627
925,白堆子,9号线,25,9,39.92157138,116.31956070000001,925
927,军事博物馆,9号线,27,9,39.90567018,116.3156133,111
929,北京西站,9号线,29,9,39.89322519,116.31588909999998,721
931,六里桥东,9号线,31,9,39.88484848,116.3096594,931
